date,state,fips,cases,deaths
6/03/2020,Lima,15,1,0
7/03/2020,Arequipa,4,1,0
7/03/2020,Lima,15,4,0
8/03/2020,Lima,15,2,0
9/03/2020,Huanuco,10,2,0
9/03/2020,Lima,15,1,0
10/03/2020,Lima,15,1,0
11/03/2020,Arequipa,4,1,0
11/03/2020,Ica,11,1,0
11/03/2020,Lima,15,6,0
12/03/2020,Lima,15,8,0
13/03/2020,Cusco,8,1,0
13/03/2020,Lima,15,9,0
14/03/2020,Callao,7,1,0
14/03/2020,Lambayeque,14,1,0
14/03/2020,Lima,15,15,0
14/03/2020,Piura,21,2,0
15/03/2020,Ancash,2,1,0
15/03/2020,Callao,7,2,0
15/03/2020,La Libertad,13,1,0
15/03/2020,Lambayeque,14,2,0
15/03/2020,Lima,15,22,0
16/03/2020,Callao,7,1,0
16/03/2020,Lambayeque,14,3,0
16/03/2020,Lima,15,15,0
16/03/2020,Loreto,17,1,0
17/03/2020,Callao,7,1,0
17/03/2020,La Libertad,13,1,0
17/03/2020,Lima,15,16,0
17/03/2020,Loreto,17,9,0
18/03/2020,Ancash,2,1,0
18/03/2020,Cusco,8,3,0
18/03/2020,Lima,15,50,0
18/03/2020,Loreto,17,1,0
18/03/2020,Madre de Dios,18,1,0
19/03/2020,Ancash,2,2,0
19/03/2020,Arequipa,4,1,0
19/03/2020,Junin,12,2,0
19/03/2020,Lima,15,53,0
19/03/2020,Lima Region,16,3,0
19/03/2020,Loreto,17,1,0
20/03/2020,Arequipa,4,1,0
20/03/2020,Callao,7,1,0
20/03/2020,Junin,12,7,0
20/03/2020,La Libertad,13,2,0
20/03/2020,Lambayeque,14,2,0
20/03/2020,Lima,15,26,0
20/03/2020,Loreto,17,2,0
20/03/2020,Piura,21,15,0
21/03/2020,Lima,15,27,0
21/03/2020,Loreto,17,2,0
21/03/2020,Piura,21,1,0
22/03/2020,Arequipa,4,3,0
22/03/2020,Callao,7,1,0
22/03/2020,Cusco,8,2,0
22/03/2020,Ica,11,1,0
22/03/2020,Lima,15,32,0
23/03/2020,Arequipa,4,2,0
23/03/2020,Callao,7,1,0
23/03/2020,La Libertad,13,1,0
23/03/2020,Lima,15,26,0
23/03/2020,Tumbes,24,3,0
24/03/2020,Ancash,2,1,0
24/03/2020,Arequipa,4,1,0
24/03/2020,Cajamarca,6,1,0
24/03/2020,Callao,7,2,0
24/03/2020,Cusco,8,4,0
24/03/2020,Junin,12,1,0
24/03/2020,La Libertad,13,1,0
24/03/2020,Lambayeque,14,4,0
24/03/2020,Lima,15,47,0
24/03/2020,Loreto,17,2,0
25/03/2020,Ancash,2,1,0
25/03/2020,Arequipa,4,5,0
25/03/2020,Callao,7,5,0
25/03/2020,Ica,11,1,0
25/03/2020,La Libertad,13,3,0
25/03/2020,Lima,15,83,0
25/03/2020,Lima Region,16,1,0
25/03/2020,Piura,21,1,0
26/03/2020,Callao,7,2,0
26/03/2020,Huanuco,10,2,0
26/03/2020,Junin,12,1,0
26/03/2020,Lambayeque,14,1,0
26/03/2020,Lima,15,38,0
26/03/2020,Loreto,17,5,0
26/03/2020,Pasco,20,1,0
26/03/2020,Tumbes,24,2,0
27/03/2020,Callao,7,1,0
27/03/2020,Cusco,8,1,0
27/03/2020,Ica,11,1,0
27/03/2020,La Libertad,13,1,0
27/03/2020,Lambayeque,14,2,0
27/03/2020,Lima,15,22,0
27/03/2020,Loreto,17,4,0
27/03/2020,San Martin,23,1,0
27/03/2020,Tumbes,24,1,0
28/03/2020,Ayacucho,5,1,0
28/03/2020,Callao,7,5,0
28/03/2020,Cusco,8,6,0
28/03/2020,Junin,12,1,0
28/03/2020,La Libertad,13,2,0
28/03/2020,Lambayeque,14,7,0
28/03/2020,Lima,15,82,0
28/03/2020,Lima Region,16,1,0
28/03/2020,Loreto,17,25,0
28/03/2020,Piura,21,1,0
