date,state,flip,cases,deaths
28/04/2020,Ancash,2,97,0
29/04/2020,Ancash,2,71,0
30/04/2020,Ancash,2,108,0
1/05/2020,Ancash,2,66,0
2/05/2020,Ancash,2,119,0
3/05/2020,Ancash,2,25,0
4/05/2020,Ancash,2,108,0
5/05/2020,Ancash,2,125,0
6/05/2020,Ancash,2,74,0
7/05/2020,Ancash,2,78,0
8/05/2020,Ancash,2,53,0
9/05/2020,Ancash,2,69,0
10/05/2020,Ancash,2,11,0
11/05/2020,Ancash,2,121,0
12/05/2020,Ancash,2,101,0
13/05/2020,Ancash,2,152,0
14/05/2020,Ancash,2,179,0
15/05/2020,Ancash,2,166,0
16/05/2020,Ancash,2,103,0
17/05/2020,Ancash,2,49,0
18/05/2020,Ancash,2,97,0
19/05/2020,Ancash,2,281,0
20/05/2020,Ancash,2,125,0
21/05/2020,Ancash,2,134,0
22/05/2020,Ancash,2,180,0
23/05/2020,Ancash,2,140,0
24/05/2020,Ancash,2,52,0
25/05/2020,Ancash,2,179,0
26/05/2020,Ancash,2,187,0
27/05/2020,Ancash,2,225,0
28/05/2020,Ancash,2,242,0
29/05/2020,Ancash,2,174,0
30/05/2020,Ancash,2,146,0
31/05/2020,Ancash,2,34,0
1/06/2020,Ancash,2,137,0
2/06/2020,Ancash,2,139,0
3/06/2020,Ancash,2,119,0
4/06/2020,Ancash,2,113,0
5/06/2020,Ancash,2,83,0
6/06/2020,Ancash,2,112,0
7/06/2020,Ancash,2,103,0
8/06/2020,Ancash,2,167,0
9/06/2020,Ancash,2,127,0
10/06/2020,Ancash,2,134,0
11/06/2020,Ancash,2,134,0
12/06/2020,Ancash,2,120,0
13/06/2020,Ancash,2,146,0
14/06/2020,Ancash,2,89,0
15/06/2020,Ancash,2,113,0
16/06/2020,Ancash,2,121,0
17/06/2020,Ancash,2,99,0
18/06/2020,Ancash,2,127,0
19/06/2020,Ancash,2,104,0
20/06/2020,Ancash,2,104,0
21/06/2020,Ancash,2,59,0
22/06/2020,Ancash,2,117,0
23/06/2020,Ancash,2,117,0
24/06/2020,Ancash,2,126,0
25/06/2020,Ancash,2,101,0
26/06/2020,Ancash,2,111,0
27/06/2020,Ancash,2,78,0
28/06/2020,Ancash,2,39,0
29/06/2020,Ancash,2,129,0
30/06/2020,Ancash,2,131,0
1/07/2020,Ancash,2,145,0
2/07/2020,Ancash,2,125,0
3/07/2020,Ancash,2,136,0
4/07/2020,Ancash,2,127,0
5/07/2020,Ancash,2,47,0
6/07/2020,Ancash,2,170,0
7/07/2020,Ancash,2,199,0
8/07/2020,Ancash,2,87,0
9/07/2020,Ancash,2,50,0
10/07/2020,Ancash,2,151,0
11/07/2020,Ancash,2,189,0
12/07/2020,Ancash,2,103,0
13/07/2020,Ancash,2,55,0
14/07/2020,Ancash,2,148,0
15/07/2020,Ancash,2,94,0
16/07/2020,Ancash,2,130,0
17/07/2020,Ancash,2,97,0
18/07/2020,Ancash,2,154,0
19/07/2020,Ancash,2,67,0
20/07/2020,Ancash,2,129,0
21/07/2020,Ancash,2,95,0
22/07/2020,Ancash,2,144,0
23/07/2020,Ancash,2,236,0
24/07/2020,Ancash,2,165,0
25/07/2020,Ancash,2,201,0
26/07/2020,Ancash,2,51,0
27/07/2020,Ancash,2,252,0
28/07/2020,Ancash,2,80,0
29/07/2020,Ancash,2,198,0
30/07/2020,Ancash,2,204,0
31/07/2020,Ancash,2,242,0
1/08/2020,Ancash,2,196,0
2/08/2020,Ancash,2,89,0
3/08/2020,Ancash,2,234,0
4/08/2020,Ancash,2,259,0
5/08/2020,Ancash,2,237,0
6/08/2020,Ancash,2,200,0
7/08/2020,Ancash,2,179,0
8/08/2020,Ancash,2,241,0
9/08/2020,Ancash,2,89,0
10/08/2020,Ancash,2,237,0
11/08/2020,Ancash,2,224,0
12/08/2020,Ancash,2,187,0
13/08/2020,Ancash,2,201,0
14/08/2020,Ancash,2,250,0
15/08/2020,Ancash,2,257,0
16/08/2020,Ancash,2,54,0
17/08/2020,Ancash,2,269,0
18/08/2020,Ancash,2,201,0
19/08/2020,Ancash,2,244,0
20/08/2020,Ancash,2,227,0
21/08/2020,Ancash,2,239,0
22/08/2020,Ancash,2,173,0
23/08/2020,Ancash,2,42,0
1/04/2020,Apurimac,3,1,0
9/04/2020,Apurimac,3,3,0
11/04/2020,Apurimac,3,2,0
13/04/2020,Apurimac,3,7,0
14/04/2020,Apurimac,3,10,0
15/04/2020,Apurimac,3,4,0
16/04/2020,Apurimac,3,4,0
17/04/2020,Apurimac,3,6,0
18/04/2020,Apurimac,3,5,0
20/04/2020,Apurimac,3,1,0
21/04/2020,Apurimac,3,8,0
