date,state,fips,cases,deaths
2020-04-02,Ancash,ANC,2,0
2020-04-02,Arequipa,ARE,7,0
2020-04-02,Cajamarca,CAJ,1,0
2020-04-02,Callao,CAL,6,0
2020-04-02,Cusco,CUS,7,0
2020-04-02,La Libertad,LIB,7,0
2020-04-02,Lambayeque,LAM,5,0
2020-04-02,Lima,LIM,168,0
2020-04-02,Lima Region,LRE,2,0
2020-04-02,Loreto,LOR,9,0
2020-04-02,Piura,PIU,1,0
2020-04-02,Tumbes,TUM,6,0
2020-04-02,Ucayali,UCA,1,0
2020-04-03,Cajamarca,CAJ,2,0
2020-04-03,Callao,CAL,14,0
2020-04-03,Cusco,CUS,4,0
2020-04-03,Huancavelica,HUA,1,0
2020-04-03,Ica,ICA,4,0
2020-04-03,Junin,JUN,8,0
2020-04-03,La Libertad,LIB,5,0
2020-04-03,Lambayeque,LAM,31,0
2020-04-03,Lima,LIM,170,0
2020-04-03,Lima Region,LRE,16,0
2020-04-03,Loreto,LOR,25,0
2020-04-03,Pasco,PAS,1,0
2020-04-03,Piura,PIU,2,0
2020-04-03,San Martin,SMA,3,0
2020-04-03,Tumbes,TUM,5,0
2020-04-03,Ucayali,UCA,1,0
2020-04-04,Ancash,ANC,9,0
2020-04-04,Arequipa,ARE,14,0
2020-04-04,Ayacucho,AYA,2,0
2020-04-04,Callao,CAL,174,0
2020-04-04,Cusco,CUS,11,0
2020-04-04,Ica,ICA,5,0
2020-04-04,La Libertad,LIB,1,0
2020-04-04,Lambayeque,LAM,49,0
2020-04-04,Lima,LIM,480,0
2020-04-04,Lima Region,LRE,19,0
2020-04-04,Loreto,LOR,40,0
2020-04-04,Moquegua,MOQ,1,0
2020-04-04,Pasco,PAS,1,0
2020-04-04,Piura,PIU,5,0
2020-04-04,Tumbes,TUM,10,0
2020-04-04,Ucayali,UCA,6,0
2020-04-05,Amazonas,AMA,4,0
2020-04-05,Ancash,ANC,7,0
2020-04-05,Arequipa,ARE,9,0
2020-04-05,Ayacucho,AYA,2,0
2020-04-05,Callao,CAL,48,0
2020-04-05,Cusco,CUS,2,0
2020-04-05,Huancavelica,HUA,1,0
2020-04-05,Huanuco,HCO,1,0
2020-04-05,Ica,ICA,4,0
2020-04-05,Junin,JUN,4,0
2020-04-05,La Libertad,LIB,7,0
2020-04-05,Lambayeque,LAM,8,0
2020-04-05,Lima,LIM,308,0
2020-04-05,Lima Region,LRE,5,0
2020-04-05,Loreto,LOR,31,0
2020-04-05,Pasco,PAS,2,0
2020-04-05,Piura,PIU,1,0
2020-04-06,Amazonas,AMA,1,0
2020-04-06,Ancash,ANC,13,0
2020-04-06,Arequipa,ARE,7,0
2020-04-06,Callao,CAL,66,0
2020-04-06,Cusco,CUS,1,0
2020-04-06,Huancavelica,HUA,5,0
2020-04-06,Huanuco,HCO,3,0
2020-04-06,Ica,ICA,7,0
2020-04-06,La Libertad,LIB,4,0
2020-04-06,Lambayeque,LAM,28,0
2020-04-06,Lima,LIM,473,0
2020-04-06,Lima Region,LRE,9,0
2020-04-06,Loreto,LOR,10,0
2020-04-06,Moquegua,MOQ,1,0
2020-04-06,Piura,PIU,8,0
2020-04-06,Puno,PUN,1,0
2020-04-06,Tumbes,TUM,5,0
2020-04-06,Ucayali,UCA,5,0
2020-04-07,Amazonas,AMA,4,0
2020-04-07,Ancash,ANC,26,0
2020-04-07,Arequipa,ARE,4,0
2020-04-07,Cajamarca,CAJ,3,0
2020-04-07,Callao,CAL,51,0
2020-04-07,Huancavelica,HUA,1,0
2020-04-07,Huanuco,HCO,2,0
2020-04-07,Ica,ICA,9,0
2020-04-07,Junin,JUN,13,0
2020-04-07,La Libertad,LIB,21,0
2020-04-07,Lambayeque,LAM,156,0
2020-04-07,Lima,LIM,614,0
2020-04-07,Lima Region,LRE,18,0
2020-04-07,Loreto,LOR,100,0
2020-04-07,Piura,PIU,11,0
2020-04-07,San Martin,SMA,3,0
2020-04-07,Tumbes,TUM,4,0
2020-04-07,Ucayali,UCA,1,0
2020-04-08,Amazonas,AMA,5,0
2020-04-08,Ancash,ANC,10,0
2020-04-08,Arequipa,ARE,5,0
2020-04-08,Ayacucho,AYA,3,0
